Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,1.939,1.798,1.774,1.829,1.691,1.67,1.648,1.884,1.889,1.96,1.963,2.007
2013,1.933,1.965,1.925,1.918,1.87,1.859,1.833,1.838,1.897,1.925,1.925,2.026
2014,2.008,1.998,2.061,2.119,1.996,1.948,1.95,1.979,1.97,1.951,2.032,2.21
2015,2.113,2.088,2.133,2.065,1.962,2.57,2.57,2.943,2.966,2.808,2.664,2.751
2016,2.328,2.267,2.081,1.793,1.684,1.491,1.546,1.455,1.471,1.39,1.321,1.383
2017,1.599,1.464,1.404,1.409,1.414,1.332,1.333,1.367,1.422,1.54,1.506,1.815
2018,1.769,1.755,1.831,2.081,1.987,1.628,1.725,1.622,1.651,1.66,1.596,1.595
2019,1.554,1.557,1.544,1.463,1.362,1.203,1.243,1.219,1.383,1.282,1.405,1.535
2020,1.461,1.449,1.525,2.019,1.64,1.554,1.401,1.328,1.353,1.408,1.45,1.481
2021,1.466,1.597,1.625,1.62,1.625,1.642,1.642,1.709,1.835,1.821,1.718,1.788
